Año,Programa Académico,Modalidad,Hombres,Mujeres,Total
2024,Economía y Desarrollo Sostenible (Bioeconomía y Economía Circular),Semipresencial,12,10,22
2024,Economía y Desarrollo Sostenible ,Presencial,132,135,267
2024,Filosofía e Historia,Presencial,77,64,141
2024,Filosofía e Historia,Semipresencial,40,45,85
2024,Humanidades y Narrativas Multimedia,Semipresencial,12,25,37
2024,Humanidades y Narrativas Multimedia ,A distancia,621,1009,1630
2024,Humanidades y Narrativas Multimedia ,Presencial,385,554,939
2024,Ingeniería en Control y Automatización ,Presencial,425,124,549
2024,Mercadotecnia y Ventas,Semipresencial,34,54,88
2024,Mercadotecnia y Ventas ,A distancia,1448,2818,4266
2024,Mercadotecnia y Ventas ,Presencial,55,128,183
2024,Psicología,Semipresencial,76,227,303
2024,Psicología ,A distancia,1178,4714,5892
2024,Psicología ,Presencial,484,1673,2157
2024,Relaciones Internacionales,Semipresencial,24,67,91
2024,Relaciones Internacionales ,A distancia,481,982,1463
2024,Relaciones Internacionales ,Presencial,806,1544,2350
2024,Tecnologías de Información y Comunicación ,A distancia,2584,1700,4284
2024,Turismo ,Presencial,207,499,706
2024,Urbanismo y Desarrollo Metropolitano ,Presencial,155,179,334
